1.305	1.084	0.705	0.772	0.866	0.764	0.59	1.973
1.335	1.06	0.694	0.802	0.861	0.736	0.59	1.914
1.365	1.04	0.683	0.83	0.856	0.711	0.59	1.863
1.395	1.024	0.672	0.857	0.851	0.689	0.59	1.818
1.425	1.012	0.661	0.881	0.846	0.67	0.59	1.779
1.455	1.004	0.65	0.903	0.841	0.653	0.59	1.746
1.485	1.0	0.639	0.922	0.836	0.64	0.59	1.717
1.515	1.0	0.628	0.939	0.828	0.628	0.59	1.688
1.545	1.004	0.617	0.953	0.817	0.619	0.59	1.659
1.575	1.012	0.605	0.963	0.807	0.612	0.59	1.633
1.605	1.024	0.593	0.971	0.796	0.608	0.59	1.611
1.635	1.04	0.582	0.975	0.786	0.605	0.59	1.591
1.665	1.06	0.57	0.977	0.775	0.604	0.59	1.574
1.695	1.084	0.558	0.975	0.765	0.605	0.59	1.559
1.725	1.111	0.547	0.971	0.754	0.608	0.59	1.547
1.755	1.143	0.535	0.965	0.744	0.612	0.59	1.535
1.785	1.179	0.523	0.956	0.733	0.617	0.59	1.526
1.815	1.218	0.512	0.946	0.723	0.624	0.59	1.517
1.845	1.262	0.5	0.935	0.712	0.631	0.59	1.51
1.875	1.309	0.489	0.922	0.701	0.64	0.59	1.503
1.905	1.361	0.477	0.909	0.691	0.649	0.59	1.497
1.935	1.416	0.465	0.895	0.68	0.659	0.59	1.491
1.965	1.476	0.454	0.881	0.67	0.669	0.59	1.485
1.995	1.539	0.442	0.867	0.659	0.68	0.59	1.48
2.025	1.606	0.43	0.853	0.649	0.691	0.59	1.474
2.055	1.678	0.419	0.84	0.638	0.702	0.59	1.468
2.085	1.753	0.407	0.827	0.628	0.714	0.59	1.461
2.115	1.832	0.395	0.814	0.617	0.724	0.59	1.454
2.145	1.915	0.384	0.803	0.607	0.735	0.59	1.447
2.175	2.002	0.372	0.792	0.596	0.745	0.59	1.438
2.205	2.093	0.361	0.782	0.586	0.755	0.59	1.428
2.235	2.188	0.349	0.773	0.575	0.764	0.59	1.417
2.265	2.287	0.337	0.765	0.565	0.771	0.59	1.405
2.295	2.39	0.326	0.758	0.554	0.778	0.59	1.391
2.325	2.497	0.314	0.752	0.544	0.784	0.59	1.377
2.355	2.608	0.302	0.748	0.533	0.789	0.59	1.36
2.385	2.723	0.291	0.745	0.523	0.792	0.59	1.342
2.415	2.842	0.279	0.744	0.512	0.793	0.59	1.323
2.445	2.965	0.267	0.744	0.502	0.793	0.59	1.302
2.475	3.091	0.256	0.746	0.491	0.791	0.59	1.279
2.505	3.222	0.244	0.75	0.481	0.787	0.59	1.255
2.535	3.357	0.233	0.756	0.47	0.781	0.59	1.229
2.565	3.495	0.221	0.764	0.46	0.772	0.59	1.203
2.595	3.638	0.209	0.775	0.449	0.761	0.59	1.175
2.625	3.784	0.198	0.789	0.438	0.748	0.59	1.146
2.655	3.935	0.186	0.806	0.428	0.732	0.59	1.116
2.685	4.089	0.174	0.828	0.417	0.713	0.59	1.086
2.715	4.248	0.163	0.854	0.407	0.691	0.59	1.056
2.745	4.41	0.151	0.886	0.396	0.666	0.59	1.026
2.775	4.576	0.139	0.925	0.386	0.638	0.59	0.997
2.805	4.747	0.128	0.973	0.375	0.607	0.59	0.971
2.835	4.921	0.116	1.032	0.365	0.572	0.59	0.948
2.865	5.099	0.105	1.107	0.354	0.533	0.59	0.929
2.895	5.281	0.093	1.203	0.344	0.491	0.59	0.918
2.925	5.467	0.081	1.328	0.333	0.444	0.59	0.919
2.955	5.657	0.07	1.498	0.323	0.394	0.59	0.937
2.985	5.851	0.058	1.739	0.312	0.339	0.59	0.983
